"tweet_id","source_user_id","target_user_id"
"880287709385850880","1499303575","15438913"
"880288534011293698","15501305","15438913"
"880288566122733572","137370623","330826792"
"880295074583662592","35966220","116502194"
"880295870167564289","580398317","1480866006"
"880295870167564289","580398317","1973545453"
"880295870167564289","580398317","22286712"
"880295870167564289","580398317","140486684"
"880301423568793600","3024352505","14606079"
"880301471211716608","261465889","476681224"
"880301686937366528","261465889","476681224"
"880304327415300096","1834371","330826792"
"880304387301789697","816650169265647616","15438913"
"880304575172890624","1834371","142561485"
"880305077428158464","1394182783","2797118324"
"880308229602979840","476681224","476681224"
"880310288154849280","799619959194341376","476681224"
"880310717865369600","856762425676189696","335703268"
"880311234750365697","11849832","142561485"
"880313815312814080","15501305","17469289"
"880318737575968768","878955812756086784","3319921950"
"880318994389118981","878955812756086784","3329841129"
"880319919581155328","850268972696064002","850268972696064002"
"880321366108422144","850268972696064002","850268972696064002"
"880325225166123008","566301561","54515587"
"880325225166123008","566301561","376647652"
"880325919658827778","50836292","50836292"
"880326040693821440","59372272","1367531"
"880326040693821440","59372272","150799669"
"880329131736666112","803339716972212224","11856892"
"880331239047270401","221221542","741670818"
"880332532834869248","259618908","448759598"
"880333564079951872","448759598","448759598"
"880334397584662529","2534414608","321918773"
"880337091149799424","142271114","142561485"
"880337091149799424","142271114","330826792"
"880513059374063620","34877825","488950348"
"880513059374063620","34877825","25073877"
"880513586279325696","16828858","2974857543"
"880513603803037698","299315173","8708292"
"880513954237169665","2197124518","3255041"
"880515383320485889","284115811","3414931091"
"880515796987822080","55502368","25979455"
"880515805124997120","859116272","32871086"
"880516374577242112","1249512284","3055881813"
"880516831844327424","2313811603","707902190"
"880518122503110657","3029228946","3063241584"
"880519105031225344","48873781","734826612684783616"
"880520245433180160","19548761","718476067"
"880520246762909696","14354091","718476067"
"880521467779219456","854057889907998722","3290364847"
"880521772025630720","67715492","330826792"
"880521942490599424","2877093589","10228272"
"880522673515773952","2201211","808400788447891456"
"880522673515773952","2201211","2732827857"
"880522673515773952","2201211","822215673812119553"
"880523550276198400","3258785612","35403128"
"880527379835355136","140917531","10228272"
"880527968724029440","19039853","34643610"
"880528595160059905","93068617","715511094"
"880528846914822144","1611551942","2271753429"
"880529237941395456","760260111071797248","1367531"
"880529237941395456","760260111071797248","21010214"
"880529285240332288","20571051","138657423"
"880529480510562304","2198753300","138657423"
"880529491138883585","2853732430","138657423"
"880529503080120320","295958358","138657423"
"880529515105185792","987655316","138657423"
"880529528518565888","987655316","138657423"
"880529540476489729","2608796498","138657423"
"880530006086225923","861208592661327872","1367531"
"880530006086225923","861208592661327872","21010214"
"880530126252810240","4543087040","138657423"
"880530568647069697","987655316","138657423"
"880531114070167553","20571051","138657423"
"880531114191749121","987655316","138657423"
"880531871112634368","1323465001","47586370"
"880531871112634368","1323465001","1323465001"
"880531871112634368","1323465001","85804414"
"880531871112634368","1323465001","827531085076656128"
