"tweet_id","tag"
"880658185102774273","WorldNoTobaccoDay"
"880658720518266881","alcohol"
"880658720518266881","drug"
"880658720518266881","addiction"
"880659771677962241","DrRedLawhern"
"880659771677962241","opioids"
"880660411607117824","WorldNoTobaccoDay"
"880660889409642496","OvercomingAddiction"
"880662054838956033","alcohol"
"880662054838956033","drug"
"880662054838956033","addiction"
"880662505986588672","goaskvie"
"880664864246685696","WorldNoTobaccoDay"
"880664887348875265","DuterteYear1"
"880667744689106944","addiction"
"880667744689106944","recovery"
"880668045391400960","Addiction"
"880669511938183168","addiction"
"880669511938183168","recovery"
"880669737340084224","Addiction"
"880670811979468800","Ritalin"
"880670811979468800","Addiction"
"880670860511772672","Amphetamine"
"880670860511772672","Addiction"
"880673968256110592","OvercomingAddiction"
"880674778260135936","freekindlebooks"
"880674778260135936","amreading"
"880676576618323968","WorldNoTobaccoDay"
"880678340985856001","Amphetamine"
"880678340985856001","Addiction"
"880678343456280576","Amphetamine"
"880678343456280576","Addiction"
"880686529185816577","Savingtomorrowsgeneration"
"880689785328861184","Sydney"
"880694546581114880","drug"
"880694546581114880","addiction"
"880694546581114880","DigitalHealth"
"880694546581114880","STOA"
"880694546581114880","tech"
"880694546581114880","health"
"880694546581114880","alcohol"
"880695620520038400","Iran"
"880696029867331584","itsokaytonotbeokay"
"880696029867331584","mentalhealth"
"880696029867331584","anxiety"
"880696029867331584","depression"
"880696029867331584","stillfighting"
"880696029867331584","recove"
"880698777845329920","itsokaytonotbeokay"
"880698777845329920","mentalhealth"
"880698777845329920","anxiety"
"880698777845329920","depression"
"880698777845329920","stillfighting"
"880698777845329920","recove"
"880699743999074304","WorldNoTobaccoDay"
"880700541302706176","NorthsideToday"
"880701896075468800","Iran"
"880755304270487553","itsokaytonotbeokay"
"880755304270487553","mentalhealth"
"880755304270487553","anxiety"
"880755304270487553","depression"
"880755304270487553","stillfighting"
"880755304270487553","recove"
"880761427878973441","Amphetamine"
"880761427878973441","Addiction"
"880762326189842432","WorldNoTobaccoDay"
"880763047513640960","WorldNoTobaccoDay"
"880763681553883137","WorldNoTobaccoDay"
"880764169628340224","VR"
"880764169628340224","digital"
"880764169628340224","virtualreality"
"880764169628340224","analytics"
"880764169628340224","research"
"880764169628340224","content"
"880765415525404672","AgendaLD"
"880768205224128513","cdnpoli"
"880770876752318464","WorldNoTobaccoDay"
"880772084506537984","WorldNoTobaccoDay"
"880774251204280320","fentanyl"
"880776624270176256","WorldNoTobaccoDay"
"880777518634209281","Iran"
"880777518634209281","HumanRights"
"880778048001462273","WorldNoTobaccoDay"
"880779864286142464","WorldNoTobaccoDay"
"880782434735882240","addiction"
"880782878426230785","addiction"
"880786415755423744","GetHelpCharlie"
"880786795222269952","rehabilitation"
"880788592993468417","Alcohol"
"880788592993468417","Drug"
"880788592993468417","Addiction"
"880789158444355585","Amphetamine"
"880789158444355585","Addiction"
"880791063983779842","ILoveMyselfBecause"
"880791786754539520","Addiction"
"880957341360893952","WorldNoTobaccoDay"
"880964115149312000","संस्कृति_रक्षक_संत"
"880965140459302912","संस्कृति_रक्षक_संत"
"880965467552137216","संस्कृति_रक्षक_संत"
"880965535848030209","VirtualReality"
"880965721756389376","संस्कृति_रक्षक_संत"
"880966137768550400","English"
"880967326295662594","chronicpain"
"880967326295662594","addiction"
"880967844812533761","chronicpain"
"880967844812533761","addiction"
"880967985221042176","संस्कृति_रक्षक_संत"
"880968010743283712","संस्कृति_रक्षक_संत"
"880968301244850177","संस्कृति_रक्षक_संत"
"880969008497004545","संस्कृति_रक्षक_संत"
"880969065854107649","संस्कृति_रक्षक_संत"
"880969463356698624","संस्कृति_रक्षक_संत"
"880969617652449280","संस्कृति_रक्षक_संत"
"880969676729221120","संस्कृति_रक्षक_संत"
"880970390725697536","Gratitude"
"880970524343640064","संस्कृति_रक्षक_संत"
"880971331394600960","संस्कृति_रक्षक_संत"
"880971850964058117","संस्कृति_रक्षक_संत"
"880972782858665984","संस्कृति_रक्षक_संत"
"880973280147947520","संस्कृति_रक्षक_संत"
"880974373057740800","संस्कृति_रक्षक_संत"
"880976049236058112","संस्कृति_रक्षक_संत"
"880978443747246080","संस्कृति_रक्षक_संत"
"880980020197564421","WorldNoTobaccoDay"
"880981017900838912","संस्कृति_रक्षक_संत"
"880982383767437313","SinnFein"
"880982383767437313","IRA"
"880982383767437313","UK"
"880982383767437313","Patsy"
"880982383767437313","FakeGang"
"880982383767437313","PsyOp"
"880982383767437313","DeepState"
"880982856696299520","Amphetamine"
"880982856696299520","Addiction"
"880982941882626050","Amphetamine"
"880982941882626050","Addiction"
"880983085554122752","संस्कृति_रक्षक_संत"
"880983458540961794","संस्कृति_रक्षक_संत"
"880984147182985216","RAisadisease"
"880984147182985216","youneedhelp"
"880984206767267843","संस्कृति_रक्षक_संत"
"880985094747332610","संस्कृति_रक्षक_संत"
"880989465552007169","opiates"
"880989465552007169","heroin"
"880989465552007169","addiction"
"880990528963215362","Free"
"880990528963215362","Kindle"
"880990528963215362","Addiction"
"880990528963215362","Amazon"
"880991113376661504","संस्कृति_रक्षक_संत"
"880991373788418048","संस्कृति_रक्षक_संत"
"880991391173804034","संस्कृति_रक्षक_संत"
"880991495179960320","संस्कृति_रक्षक_संत"
"880992344551546880","ad"
"880993088612835328","संस्कृति_रक्षक_संत"
"880993316782911488","संस्कृति_रक्षक_संत"
"880993785085280256","संस्कृति_रक्षक_संत"
"880994007165288448","संस्कृति_रक्षक_संत"
"880994286124363777","WorldNoTobaccoDay"
"880994413895274498","संस्कृति_रक्षक_संत"
"880994554723225600","संस्कृति_रक्षक_संत"
"880994588894167041","संस्कृति_रक्षक_संत"
"880995711172595712","संस्कृति_रक्षक_संत"
"880996025464348672","संस्कृति_रक्षक_संत"
"880996097195261953","संस्कृति_रक्षक_संत"
"880997700417671168","संस्कृति_रक्षक_संत"
"880997982610575360","संस्कृति_रक्षक_संत"
"880999105333522432","संस्कृति_रक्षक_संत"
"880999420971671556","संस्कृति_रक्षक_संत"
"881000836238671872","संस्कृति_रक्षक_संत"
"881000992933904384","opioidcrisis"
"881002199597371393","संस्कृति_रक्षक_संत"
"881003091235098624","संस्कृति_रक्षक_संत"
"881003229773000704","संस्कृति_रक्षक_संत"
"881003895232712704","संस्कृति_रक्षक_संत"
"881004076879806464","संस्कृति_रक्षक_संत"
"881004102255300608","संस्कृति_रक्षक_संत"
"881004442463502336","संस्कृति_रक्षक_संत"
"881005466591035392","WorldNoTobaccoDay"
"881006577192493056","संस्कृति_रक्षक_संत"
"881007082748510208","संस्कृति_रक्षक_संत"
"881008161095856129","Toronto"
"881008161095856129","Odycy"
"881008161095856129","ACO"
"881008161095856129","RockTheRetweet"
"881009117757878272","WorldNoTobaccoDay"
"881010491417604097","संस्कृति_रक्षक_संत"
"881010552352407552","संस्कृति_रक्षक_संत"
"881012258062688256","संस्कृति_रक्षक_संत"
"881012707960516609","संस्कृति_रक्षक_संत"
"881013479410421760","संस्कृति_रक्षक_संत"
"881014627147972608","संस्कृति_रक्षक_संत"
"881015092950822913","Alcohol"
"881015092950822913","Drug"
"881015092950822913","Addiction"
"881015137578209280","संस्कृति_रक्षक_संत"
"881016193401925632","WorldNoTobaccoDay"
"881016930899034113","Alcohol"
"881016930899034113","Drug"
"881016930899034113","Addiction"
"881017054219948032","WorldNoTobaccoDay"
"881017421494177792","संस्कृति_रक्षक_संत"
"881019204404617216","संस्कृति_रक्षक_संत"
"881020550755299329","संस्कृति_रक्षक_संत"
"881021103556177921","alcohol"
"881021103556177921","drug"
"881021103556177921","addiction"
"881022071626706944","opioidcrisis"
"881024169504370688","ad"
"881025213659574272","संस्कृति_रक्षक_संत"
"881025375832121344","संस्कृति_रक्षक_संत"
"881029325486788608","WorldNoTobaccoDay"
"881029548208521216","संस्कृति_रक्षक_संत"
"881030077584113664","संस्कृति_रक्षक_संत"
"881030953455329281","संस्कृति_रक्षक_संत"
"881031180237385729","WorldNoTobaccoDay"
"881031920422924288","Xanax"
"881031920422924288","Addiction"
"881032053663309824","WorldNoTobaccoDay"
"881032165143851008","WorldNoTobaccoDay"
"881032260866105345","WorldNoTobaccoDay"
"881034393602502656","संस्कृति_रक्षक_संत"
"881035463477297152","Facebook"
"881037162283646976","freekindlebooks"
"881037162283646976","amreading"
"881037601699799041","संस्कृति_रक्षक_संत"
"881038522416680965","RecoveryNC"
"881039629897441280","WorldNoTobaccoDay"
"881039964980494336","WorldNoTobaccoDay"
"881040327129288704","संस्कृति_रक्षक_संत"
"881041650599870464","WorldNoTobaccoDay"
"881042665269215232","freekindlebooks"
"881042665269215232","amreading"
"881043311066087428","freekindlebooks"
"881043311066087428","amreading"
"881043592780718081","BB19"
"881043592780718081","BBAD"
"881046349151711232","WorldNoTobaccoDay"
"881046519679336449","संस्कृति_रक्षक_संत"
"881046534648807424","संस्कृति_रक्षक_संत"
"881046546837495809","संस्कृति_रक्षक_संत"
"881046882788622336","संस्कृति_रक्षक_संत"
"881046929328803841","WorldNoTobaccoDay"
"881047888561942529","संस्कृति_रक्षक_संत"
"881047958023577601","WorldNoTobaccoDay"
"881050842736074752","painkiller"
"881050842736074752","addiction"
"881050842736074752","addicted"
"881050842736074752","BrokenHome"
"881050842736074752","abandoned"
"881050842736074752","drug"
"881050842736074752","Lost"
"881050842736074752","badparenting"
"881051635392360449","Drug"
"881052036120408064","WorldNoTobaccoDay"
"881052407215644676","संस्कृति_रक्षक_संत"
"881052702960222208","संस्कृति_रक्षक_संत"
"881052789291536384","संस्कृति_रक्षक_संत"
"881053535994904576","संस्कृति_रक्षक_संत"
"881053600830631937","संस्कृति_रक्षक_संत"
"881055950995677184","DimpleVerse"
"881056014300307460","संस्कृति_रक्षक_संत"
"881056800681979904","संस्कृति_रक्षक_संत"
"881056866859720704","संस्कृति_रक्षक_संत"
"881058010386378752","संस्कृति_रक्षक_संत"
"881058034017075200","संस्कृति_रक्षक_संत"
"881059254588854272","संस्कृति_रक्षक_संत"
"881059551197507584","tj"
"881059551197507584","thevoice"
